ÐòºÅ,Á÷¿Ø×´Ì¬,¸æ¾¯,º½°àºÅ,º½°à×´Ì¬,»úÐÍ,×¢²áºÅ,Ö´ÐÐÈÕÆÚ,Æð·ÉÅÜµÀ,½µÂäÅÜµÀ,³ö·¢µØ,Ä¿µÄµØ,Æð·É»ú³¡,½µÂä»ú³¡,¼Æ»®½µÂä»ú³¡,SOBT,EOBT,TOBT,CTOT,ATOT,ÑÓÎó»ù×¼,COBT,AEGT,AOBT,ËÉÉ²³µ,³ý±ùÊ±³¤,OTOBT,TTOT,SLDT,ELDT,CLDT,ALDT,CTOT²¹³ä,²ÈÉ²³µ,AIBT,ACGT,CPL_RMK,Ñ²º½¸ß¶È,Ñ²º½ËÙ¶È,º½  Â·,·ÅÐÐÑÓÎó»ù×¼,ÑÓÎóÊ±³¤,¼ÆËãÊ¹ÓÃµÄÆð·ÉÊ±¼ä,ÔÊÐíÆð·ÉÑÓÎóÊ±¼ä,×î½üµÄÁ÷¿Ø½áÊøÊ±¼ä,×î½üµÄÁ÷¿Ø¿ªÊ¼Ê±¼ä,¼Æ»®Î¨Ò»±êÊ¶,VIP±ê¼Ç,¹Ø×¢,Á÷¿Ø,ÌØÊâÁ÷¿Ø,»íÃâÁ÷¿ØºÅ,µÈ´ý³Ø/±£»¤³Ø±êÊ¶,²¹°à±ê¼Ç,Ëø¶¨×´Ì¬,Ëø¶¨ÀàÐÍ,¹«Ë¾ºË¶Ô,»ú³¡ºË¶Ô,º½°à¹ÒÆð±êÊ¶,µ÷Ê±±êÊ¶,º½°à»íÃâ±êÊ¶,ÈË¹¤»íÃâÕ¼Á¿,ÈË¹¤»íÃâ²»Õ¼Á¿,ÈË¹¤ÊÜÏÞ,·µº½/±¸½µ±êÊ¶,¸´·É±êÊ¶,¶þ´Î´úÂë,ETD,STOT,µ±Ç°×´Ì¬,ÈÝÁ¿»íÃâ,¼Æ»®ºÅ,µÈ´ý³Ø¹ØÁªÁ÷¿Ø,ÍÆ³ö»úÎ»,½ø¸Û»úÎ»,CTOT¸æ¾¯±êÖ¾,Ç°Ðò·µº½/±¸½µ±êÊ¶,·ÉÐÐÀàÐÍ,ÈË¹¤ÉèÖÃÒþ²Ø,ÊÇ·ñÐèÒª³ý±ù,CTOTÐÞ¸Ä±¸×¢,È¡Ïû±êÊ¶,É¾³ý±ê¼Ç,ÈÎÎñÀàÐÍ,CTOTÐÞ¸ÄÈ¨ÏÞµ¥Î»,ÐÞ¸ÄVIPÏ¯Î»¼¶±ð,Ê±Ï¶½»»»±êÊ¶,¹«Ë¾,
11,0,0,CCA4369,ATX,B738/M,B1956,20240115,25,19,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,¹ãÖÝ/°×ÔÆ,ZWWW,ZGGG,ZGGG,2024-1-15 7:30,2024-1-15 7:30,,,2024-1-15 7:37,2.02401E+13,,2.02401E+13,2024-1-15 7:10,2.02401E+13,0,2024-1-15 7:17,2024-1-15 7:33,2024-1-15 12:40,2024-1-15 12:33,,2024-1-15 12:57,0,2.02401E+13,,,,S1010,K0824,WUR W190 ADPET W188 GOVSA W66 GOBIN B330 QNX B330 KWE W181 DUDIT A599 GYA,,-1080,2024-1-15 7:37,25,,,a98b7a144093479c967e1d3a2929c50f,,,,0,,,0,1,0,5,5,0,0,0,,,,U,N,A2306,2024-1-15 7:46,2024-1-15 7:46,ARR,,40859,,14,211,,U,S,0,1,,N,N,W/Z,,0,,CCA,
12,0,0,CES2252,OVE,A320/M,B6372,20240115,25,05L,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Î÷°²/ÏÌÑô,ZWWW,ZLXY,ZLXY,2024-1-15 7:30,2024-1-15 7:30,,2024-1-15 7:48,2024-1-15 7:48,2.02401E+13,2024-1-15 7:32,2.02401E+13,2024-1-15 7:21,2.02401E+13,0,2024-1-15 7:17,2024-1-15 7:48,2024-1-15 10:30,2024-1-15 10:28,2024-1-15 10:44,2024-1-15 11:00,0,2.02401E+13,,,,S1070,K0818,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN W214 HO,,-420,2024-1-15 7:48,25,,,1776c3f619f147c98a0eaa2ad5218d32,,,,0,,,0,1,,5,5,0,0,0,,,,U,N,A2334,2024-1-15 7:46,2024-1-15 7:46,ARR,,42017,,17,337,,0,S,0,1,,N,N,W/Z,,0,,CES,
13,0,0,CSN6877,ARR,B737/M,B5290,20240115,25,33,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,É¯³µ/Ò¶¶ûÇ¼,ZWWW,ZWSC,ZWSC,2024-1-15 7:30,2024-1-15 7:30,,,2024-1-15 7:33,2.02401E+13,,2.02401E+13,2024-1-15 7:14,2.02401E+13,0,2024-1-15 7:17,2024-1-15 7:35,2024-1-15 9:17,2024-1-15 9:17,,2024-1-15 9:18,0,,,,,S0920,K0740,WUR B215 KABDO W119 LESVI B215 DSC,,-1320,2024-1-15 7:33,25,,,4df75bf69c4043388cdcc6e67f1e9739,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A1021,2024-1-15 7:48,2024-1-15 7:48,ARR,,56216,,47,,,0,S,0,1,,N,N,W/Z,,0,,CSN,
14,0,0,CDG8714,OVE,B738/M,B1227,20240115,25,1,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,¼ÃÄÏ/Ò£Ç½,ZWWW,ZSJN,ZSJN,2024-1-15 7:35,2024-1-15 7:35,,,2024-1-15 7:42,2.02401E+13,,2.02401E+13,2024-1-15 7:16,2.02401E+13,0,2024-1-15 7:22,2024-1-15 7:38,2024-1-15 11:30,2024-1-15 11:30,,2024-1-15 11:36,0,2.02401E+13,2024-1-15 11:36,,,S1010,K0848,WUR X54 ESDEX W191 PANRA W212 MUDAP W211 ZWX W219 YHD B215 GODON W87 TYN B208 TAMIX W4 GULEK,,-1080,2024-1-15 7:42,25,,,a674959c2df8456986a13617a45e1ee4,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2335,2024-1-15 7:51,2024-1-15 7:51,ARR,,77674,,9,7,,0,S,0,1,,N,N,W/Z,,0,,CDG,
15,0,0,GCR7513,ARR,E190/M,B3128,20240115,25,27,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,°¢¿ËËÕ/ºìÆìÆÂ,ZWWW,ZWAK,ZWAK,2024-1-15 7:40,2024-1-15 7:40,,,2024-1-15 7:57,2.02401E+13,,,2024-1-15 7:40,,0,2024-1-15 7:27,2024-1-15 7:42,2024-1-15 8:57,2024-1-15 8:47,,2024-1-15 9:04,0,,,,,S0720,M075,WUR B215 KABDO W119 AKS,,-480,2024-1-15 7:57,25,,,c0b28fe7803443f8acbf4955e56e3308,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A1006,2024-1-15 7:55,2024-1-15 7:55,ARR,,62685,,153,,,0,S,0,1,,N,N,W/Z,,0,,GCR,
16,0,0,CUH2553,ARR,B738/M,B6268,20240115,25,24,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ÄÏ³ä/¸ßÆº,ZWWW,ZUNC,ZUNC,2024-1-15 7:40,2024-1-15 7:40,,,2024-1-15 7:50,2.02401E+13,,2.02401E+13,2024-1-15 7:27,2.02401E+13,0,2024-1-15 7:27,2024-1-15 7:42,2024-1-15 11:12,2024-1-15 11:08,,2024-1-15 11:09,0,,,2.02401E+13,,S1070,M078,WUR X54 ESDEX W191 DNC W565 XIXAN B330 OVRAL W242 SANUK W30 P61 H37 GAO,,-900,2024-1-15 7:50,25,,,c23e57654af44bfbb925fc464208d1f3,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2325,2024-1-15 7:55,2024-1-15 7:55,ARR,,80880,,11,,,0,S,0,1,,N,N,W/Z,,0,,CUH,
17,0,0,CUH2567,OVE,B738/M,B1569,20240115,25,36,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,À¼ÖÝ/ÖÐ´¨,ZWWW,ZLLL,ZLLL,2024-1-15 7:45,2024-1-15 7:45,,,2024-1-15 7:46,2.02401E+13,,2.02401E+13,,2.02401E+13,,2024-1-15 7:32,2024-1-15 7:47,2024-1-15 10:30,2024-1-15 9:59,,2024-1-15 10:02,0,,,2.02401E+13,,S1070,M078,WUR X54 ESDEX W191 NODID H74 XNN,,-1440,2024-1-15 7:46,25,,,774da92688614e8eb4d6b7689d362b17,,,,0,,,0,0,,5,0,0,0,0,,,,U,N,A2305,2024-1-15 8:00,2024-1-15 8:00,ARR,,80339,,73,105,,0,S,0,0,,N,N,W/Z,,0,,CUH,
18,0,0,CDG4721,OVE,B738/M,B7669,20240115,25,35,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Çàµº/½º¶«,ZWWW,ZSQD,ZSQD,2024-1-15 7:45,2024-1-15 7:45,,2024-1-15 7:58,2024-1-15 8:00,2.02401E+13,2024-1-15 7:43,2.02401E+13,2024-1-15 7:35,2.02401E+13,0,2024-1-15 7:32,2024-1-15 7:58,2024-1-15 12:12,2024-1-15 11:52,2024-1-15 12:08,2024-1-15 12:13,0,2.02401E+13,,,,S1010,K0848,WUR X54 ESDEX W191 PANRA W212 MUDAP W211 ZWX W219 YHD B215 GODON W87 TYN B208 TAMIX W4 MUMUN W103 WFG,,-600,2024-1-15 8:00,25,,,e6c733e35b3448a89d03b5832562c5f6,,,,0,,,0,1,,5,5,0,0,0,,,,U,N,A2321,2024-1-15 8:00,2024-1-15 8:00,ARR,,81981,,12,129,,0,S,0,1,,N,N,W/Z,,0,,CDG,
19,0,0,CSN6821,ARR,B738/M,B206C,20240115,25,24,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ÒÁÄþ,ZWWW,ZWYN,ZWYN,2024-1-15 7:45,2024-1-15 7:45,,,2024-1-15 7:43,2.02401E+13,,2.02401E+13,2024-1-15 7:22,2.02401E+13,0,2024-1-15 7:32,2024-1-15 7:50,2024-1-15 8:52,2024-1-15 8:39,,2024-1-15 8:40,0,,,,,S0840,K0737,WUR B215 KABDO W119 OGEDI H71 YNN,,-1620,2024-1-15 7:43,25,,,45850696cf8a4a16a7ce3c6ead1c150f,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A1002,2024-1-15 8:03,2024-1-15 8:03,ARR,,56096,,29,,,0,S,0,1,,N,N,W/Z,,0,,CSN,
20,0,0,CDC8651,ARR,A20N/M,B30A5,20240115,25,3,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Òø´¨/ºÓ¶«,ZWWW,ZLIC,ZLIC,2024-1-15 7:45,2024-1-15 7:45,,,2024-1-15 8:02,2.02401E+13,,,2024-1-15 7:33,,0,2024-1-15 7:32,2024-1-15 7:47,2024-1-15 10:35,2024-1-15 10:33,,2024-1-15 10:35,0,,,,,S0890,K0754,WUR W190 ADPET W188 GOVSA W66 GOBIN B330 YBL W199 YHD,,-480,2024-1-15 8:02,25,,,07e12591295740679200c7c219a50a25,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2312,2024-1-15 8:00,2024-1-15 8:00,ARR,,40839,,10,,,0,S,0,1,,N,N,W/Z,,0,,CDC,
21,0,0,GCR7523,OVE,A320/M,B8062,20240115,25,05L,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Î÷°²/ÏÌÑô,ZWWW,ZLXY,ZLXY,2024-1-15 7:50,2024-1-15 7:50,2024-1-15 7:44,2024-1-15 8:00,2024-1-15 8:12,2.02401E+13,2024-1-15 7:44,2.02401E+13,2024-1-15 7:42,2.02401E+13,0,2024-1-15 7:37,2024-1-15 8:00,2024-1-15 11:00,2024-1-15 11:02,2024-1-15 11:13,2024-1-15 11:31,0,2.02401E+13,,2.02401E+13,,S1010,M078,WUR W190 ADPET W188 GOVSA W66 GOBIN B330 XIXAN W214 HO,,-180,2024-1-15 8:12,25,,,df7713851d344356a453020211157a5f,,,,0,,,0,1,,5,5,0,0,0,,,,U,N,A7431,2024-1-15 8:06,2024-1-15 8:06,ARR,,62647,,2,104,,0,S,0,1,,N,N,W/Z,,0,,GCR,
22,0,0,GCR7531,ARR,E190/M,B3160,20240115,25,3,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Òø´¨/ºÓ¶«,ZWWW,ZLIC,ZLIC,2024-1-15 7:50,2024-1-15 7:50,,,2024-1-15 8:06,2.02401E+13,,,2024-1-15 7:35,2.02401E+13,0,2024-1-15 7:37,2024-1-15 7:52,2024-1-15 10:45,2024-1-15 10:25,,2024-1-15 10:48,0,2.02401E+13,,,,S0890,M075,WUR W190 ADPET W188 GOVSA W66 GOBIN B330 YBL W199 YHD,,-540,2024-1-15 8:06,25,,,1db31afbbe8e4fcf8db8b136f0d55ca9,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2324,2024-1-15 8:05,2024-1-15 8:05,ARR,,62666,,5,,,0,S,0,1,,N,N,W/Z,,0,,GCR,
23,0,0,CHH7891,ARR,B738/M,B1130,20240115,25,26,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,¿¦Ê²/áâÄþ,ZWWW,ZWSH,ZWSH,2024-1-15 7:50,2024-1-15 7:50,,,2024-1-15 8:07,2.02401E+13,,2.02401E+13,2024-1-15 7:45,2.02401E+13,0,2024-1-15 7:37,2024-1-15 7:52,2024-1-15 10:02,2024-1-15 9:30,,2024-1-15 9:48,0,,,2.02401E+13,,S1040,M078,WUR B215 KABDO W119 AKS W176 KHG,,-480,2024-1-15 8:07,25,,,3a3b1d3af92744578c5b52288093ff86,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A1007,2024-1-15 8:05,2024-1-15 8:05,ARR,,47296,,143,,,0,S,0,1,,N,N,W/Z,,0,,CHH,
24,0,0,CUH2505,ATX,B738/M,B1568,20240115,25,12R,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Ö£ÖÝ/ÐÂÖ£,ZWWW,ZHCC,ZHCC,2024-1-15 7:55,2024-1-15 7:55,,,2024-1-15 8:16,2.02401E+13,,2.02401E+13,2024-1-15 7:39,2.02401E+13,0,2024-1-15 7:42,2024-1-15 7:58,2024-1-15 11:52,2024-1-15 11:35,,2024-1-15 11:48,0,2.02401E+13,2024-1-15 11:55,2.02401E+13,,S1070,M078,WUR X54 ESDEX W191 DNC W565 XIXAN W214 HO H14 P396 H131 UGSUT H11 SHX W4 LIMGI H103 P52,,-240,2024-1-15 8:16,25,,,3e05c8352baf4365afd0db870476085f,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2303,2024-1-15 8:11,2024-1-15 8:11,ARR,,77028,,13,244,,0,S,0,1,,N,N,W/Z,,0,,CUH,
25,0,0,GCR7521,OVE,A20N/M,B302A,20240115,25,12R,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Ö£ÖÝ/ÐÂÖ£,ZWWW,ZHCC,ZHCC,2024-1-15 7:55,2024-1-15 7:55,,,2024-1-15 8:20,2.02401E+13,,,2024-1-15 7:45,2.02401E+13,0,2024-1-15 7:42,2024-1-15 7:58,2024-1-15 11:42,2024-1-15 11:42,,2024-1-15 12:06,0,2.02401E+13,2024-1-15 12:15,,,S1010,M078,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN W214 HO H14 P396 H131 UGSUT H11 SHX W4 LIMGI H103 P52,,0,2024-1-15 8:20,25,,,9cea1726274943aeb6571452ec4fa290,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2327,2024-1-15 8:11,2024-1-15 8:11,ARR,,62741,,3,253,,0,S,0,1,,N,N,W/Z,,0,,GCR,
26,0,0,CDG8710,OVE,B738/M,B7805,20240115,25,36,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,À¼ÖÝ/ÖÐ´¨,ZWWW,ZLLL,ZLLL,2024-1-15 7:55,2024-1-15 7:55,,,2024-1-15 8:19,2.02401E+13,,2.02401E+13,,2.02401E+13,0,2024-1-15 7:42,2024-1-15 7:57,2024-1-15 10:30,2024-1-15 10:04,,2024-1-15 10:34,0,2.02401E+13,,,,S1130,K0848,WUR X54 ESDEX W191 NODID H74 XNN,,-60,2024-1-15 8:19,25,,,d4d5cbc7726d42bfaed87b586de388e3,,,,0,,,0,0,,5,0,0,0,0,,,,U,N,A7425,2024-1-15 8:10,2024-1-15 8:10,ARR,,77682,,144,114,,0,S,0,0,,N,N,W/Z,,0,,CDG,
